web-scraper-order,web-scraper-start-url,Artikkel,Artikkel-href,Tittel,Bilde-src
"1583241820-13","https://www.vg.no/nyheter/","Ytterligere seks personer smittet02.03.20","https://www.vg.no/nyheter/innenriks/i/Joy1eb/ytterligere-seks-personer-smittet","Ytterligere seks personer smittet",""
"1583241849-27","https://www.vg.no/nyheter/","SAS reduserer antall avganger på grunn av coronaviruset 03.03.20","https://www.vg.no/nyheter/utenriks/i/y3M3Gx/sas-reduserer-antall-avganger-paa-grunn-av-coronaviruset","SAS reduserer antall avganger på grunn av coronaviruset","https://smp.vgc.no/v2/images/da263fc4-f907-4fd3-af92-c144c3c7c845?fit=crop&h=1272&w=1900&s=b4095326867c34c484f42f35f693c74dd9bd89a8"
"1583241845-25","https://www.vg.no/nyheter/","Coronaviruset: Advarer mot hamstring03.03.20","https://www.vg.no/nyheter/innenriks/i/dO2dAj/coronaviruset-advarer-mot-hamstring","Coronaviruset: Advarer mot hamstring","https://smp.vgc.no/v2/images/7b568078-1994-4e65-98e0-ca1c84697746?fit=crop&h=1263&w=1900&s=5e847812892e2e16f2e09ad225929b57961fab12"
"1583241822-14","https://www.vg.no/nyheter/","Berømte puser: Slik ble de Insta-stjerner 02.03.20","https://www.vg.no/nyheter/innenriks/i/2Gkk0B/beroemte-puser-slik-ble-de-insta-stjerner","Berømte puser: Slik ble de Insta-stjerner","https://smp.vgc.no/v2/images/b14dfc69-09e1-481e-af1d-d3832da3b9ac?fit=crop&h=1325&w=1900&s=408a988369ec7560b4788f6500e25f8b1bd92ae5"
"1583241835-20","https://www.vg.no/nyheter/","DNB: Slik manipulerer svindlerne norske ofre 02.03.20","https://www.vg.no/nyheter/innenriks/i/xPE2E8/dnb-slik-manipulerer-svindlerne-norske-ofre","DNB: Slik manipulerer svindlerne norske ofre","https://smp.vgc.no/v2/images/18eaccf5-4163-45d7-a721-fa771b350c10?fit=crop&h=1267&w=1900&s=6023cbf594a7c6d83bc2b7b7f85f467d3b45aa6d"
"1583241878-40","https://www.vg.no/nyheter/","Video skal vise at gresk kystvakt skyter mot gummibåt med migranter03.03.20","https://www.vg.no/nyheter/utenriks/i/wPQPL1/video-skal-vise-at-gresk-kystvakt-skyter-mot-gummibaat-med-migranter","Video skal vise at gresk kystvakt skyter mot gummibåt med migranter",""
"1583241815-11","https://www.vg.no/nyheter/","Smittet Ullevål-lege jobbet privat: 12 i corona-karantene 02.03.20","https://www.vg.no/nyheter/innenriks/i/wPmqWL/smittet-ullevaal-lege-jobbet-privat-12-i-corona-karantene","Smittet Ullevål-lege jobbet privat: 12 i corona-karantene",""
"1583241876-39","https://www.vg.no/nyheter/","Oslo kommune viser vei i folkeretten03.03.20","https://www.vg.no/nyheter/meninger/i/rAJgre/oslo-kommune-viser-vei-i-folkeretten","Oslo kommune viser vei i folkeretten","https://smp.vgc.no/v2/images/ded9a6d0-c926-44c7-861a-533a8902a7a2?fit=crop&h=1299&w=1900&s=9eb2df4bb12f5620152939e90f9e36d806fbfb18"
"1583241818-12","https://www.vg.no/nyheter/","WHO: Nærmere 90.000 corona-smittet på verdensbasis02.03.20","https://www.vg.no/nyheter/i/9vdm0M/who-naermere-90000-corona-smittet-paa-verdensbasis","WHO: Nærmere 90.000 corona-smittet på verdensbasis",""
"1583241839-22","https://www.vg.no/nyheter/","Netanyahu vant valget igjen. Fortsetter som statsminister i Israel 02.03.20","https://www.vg.no/nyheter/utenriks/i/rAJLqA/netanyahu-vant-valget-igjen-fortsetter-som-statsminister-i-israel","Netanyahu vant valget igjen. Fortsetter som statsminister i Israel","https://smp.vgc.no/v2/images/d34e4e81-21db-4c4a-9d50-9c8a1f7656e0?fit=crop&h=1288&w=1900&s=62a4bd5c09c9d005af19a8a9e54bfb1db54357d2"
"1583241826-16","https://www.vg.no/nyheter/","Støre: – Jeg deler bekymringen for at personkonflikter ødelegger02.03.20","https://www.vg.no/nyheter/innenriks/i/1nbkAG/stoere-jeg-deler-bekymringen-for-at-personkonflikter-oedelegger","Støre: – Jeg deler bekymringen for at personkonflikter ødelegger","https://smp.vgc.no/v2/images/8006102d-08f7-469e-bd28-b2b6ac453573?fit=crop&h=1267&w=1900&s=267c509d97c69f3abf94190321a20f7517df15d5"
"1583241809-9","https://www.vg.no/nyheter/","Frivillige på Lesvos skal ha blitt angrepet: – Det er et lovløst samfunn02.03.20","https://www.vg.no/nyheter/utenriks/i/8mKya2/frivillige-paa-lesvos-skal-ha-blitt-angrepet-det-er-et-lovloest-samfunn","Frivillige på Lesvos skal ha blitt angrepet: – Det er et lovløst samfunn","https://smp.vgc.no/v2/images/0a71153b-3c08-445c-b30c-bceaac88cbe2?fit=crop&h=328&w=360&s=5cac712f21bcfe6828ec53945f9a59b12ffc135a"
"1583241861-32","https://www.vg.no/nyheter/","To bekreftet smittet i Drammen03.03.20","https://www.vg.no/nyheter/innenriks/i/9vdv4w/to-bekreftet-smittet-i-drammen","To bekreftet smittet i Drammen",""
